"","logFC","logCPM","F","PValue"
"CARS2",-0.0873239151638494,5.94533884467452,0.852741960003732,0.372856599101177
"ING1",0.125239442295151,4.30935274369684,1.00028346966743,0.335772929559486
"ANKRD10",0.0525698148684435,3.81059977808856,0.12451418071781,0.729931500618565
"ARHGEF7",0.0206018719208785,6.0857923390172,0.0525670979040566,0.822277502971279
"TUBGCP3",0.0332836823241356,4.52011075859619,0.0535047815024044,0.820729320659556
"ATP11A",0.210140186935995,5.79302674063729,4.44869276804047,0.0552093880595007
"PCID2",0.0184062909684179,4.90313612265314,0.0259990850024119,0.874419480535307
"CUL4A",0.0953508582321488,6.54733886683418,0.791825537486719,0.389965469710258
"LAMP1",-0.127513755910537,8.59565636300077,2.26264302298341,0.156794550643952
"GRTP1",-0.256267941035239,1.42418906848536,0.909921970458386,0.357801502601703
"ADPRHL1",-0.623490646561462,0.433661092392138,3.90032297312402,0.0702458604538075
"DCUN1D2",0.0897934043010429,3.36744941261989,0.197334492705898,0.66429788360367
"TMCO3",0.0446368832936823,6.85390807494711,0.245481027649589,0.628671325475987
"TFDP1",-0.0317993649673128,6.38528173070162,0.145528250473288,0.70910263231746
"TMEM255B",0.341475959427027,0.56092957246361,0.885687441066505,0.364069914954894
"GAS6-AS1",-0.574627104506437,0.762265422458697,3.20120276391359,0.0972572117120906
"GAS6",0.397247895172438,6.36421248728546,8.77515498540083,0.0111672208876271
"RASA3",0.372809026096453,3.35522814192856,5.68877211895929,0.0332599555090884
"CDC16",-0.0744713655803871,5.92229698331972,0.714371397653442,0.413515335171145
"UPF3A",-0.148311583134248,6.25628488669,2.27672455022974,0.155608955782929
"CHAMP1",-0.104368811559183,4.84228090199622,1.00951219848678,0.333634766169082
"TTC5",-0.154420408684843,3.37027226540435,0.876904649458091,0.366381888803963
"CCNB1IP1",0.0970904342388231,4.86649529548456,0.557745236310458,0.468665643132249
"PARP2",0.146412357009095,4.97936918696349,1.03788142793575,0.327183228631922
"TEP1",-0.10590325069915,5.52860611566154,0.949550676390206,0.34788871644033
"OSGEP",0.16342446531638,3.65471159877872,1.50768410246288,0.241592337478747
"APEX1",0.0549103069743839,7.19394744763381,0.338191831996331,0.570973698723752
"PNP",0.279183012429212,7.10571677774131,10.5319807093199,0.0065012514603392
"ANG",0.140245686027967,1.15503490143314,0.190626380768044,0.669669500133244
"RNASE4",-0.0329380386680221,2.27517726743013,0.0242568993575922,0.878662178936873
"RNASE1",-0.269316930737725,1.18368297780325,0.936696555241082,0.351059452514957
"METTL17",0.0202904970157207,5.34032156929611,0.0347638888167393,0.855013559391881
"NDRG2",0.348239143104168,5.64816952448676,11.6153134548313,0.00476406700515987
"RNASE7",0.098869713235636,5.82971546689087,0.785455961492015,0.391823037228664
"ARHGEF40",0.150088742899067,5.21176246498373,1.95149628768532,0.186172169436556
"ZNF219",-0.071081965213703,4.52163588668999,0.274154055900558,0.609504065122392
"TMEM253",-0.174083272106092,1.54442231620492,0.442671634620101,0.517644478883303
"LINC00641",-0.286557829283821,3.85270730242855,4.79041308812886,0.0477786713037123
"HNRNPC",0.00927778139284517,10.6555950037444,0.00625907150890648,0.93816506317966
"SUPT16H",-0.0301710677575632,7.71103293374269,0.105898614883356,0.750120328124048
"CHD8",0.124248242295874,7.58134378616934,1.81069054532785,0.201775771675394
"RAB2B",0.136159865891219,4.01857908152476,0.914624088765243,0.356603760617198
"TOX4",-0.0384502850956807,7.13065240200902,0.198232969467042,0.663586834060112
"METTL3",0.0487934427175682,5.55245082852591,0.217013029519648,0.649152088083502
"SALL2",-0.14766169372391,1.64626280243869,0.394627506201777,0.540922958264266
"DAD1",0.140722283973774,7.22041240913218,3.1391535998895,0.100219111298516
"ABHD4",-0.130340033319631,6.07184184047491,1.94585511143938,0.18676685924892
"OXA1L",0.0736531621356658,6.35871756346427,0.731216580419429,0.408208822316253
"MRPL52",0.1761507120254,4.94849812797537,3.05782727068878,0.104269871520299
"MMP14",0.103092340958889,10.3238489415686,1.02036658621809,0.33114495068347
"LRP10",0.0832240888008763,7.58501043053688,0.681118434454317,0.424315184561883
"RBM23",-0.00895841920683353,5.78093444443427,0.00798476572184705,0.930180687368312
"PRMT5",0.13444186461166,6.82576326504497,1.81907108499304,0.200800899443388
"HAUS4",-0.00787670018643557,4.31270191293337,0.00442542605912821,0.94798849085337
"AJUBA",-0.00022045101370733,7.10521389048419,8.29679872637363e-06,0.997746166960777
"C14orf93",-0.291827657813889,2.94997557800908,2.18445754653276,0.163588525522485
"PSMB5",0.200008424237755,7.48587147447237,5.79795161242157,0.0318786591332317
"CDH24",-0.111704466641254,2.92533310230497,0.3305662757931,0.575292085264077
"ACIN1",0.077835729872284,8.13316475100878,0.938370398913837,0.350644175607732
"C14orf119",0.0252386435334728,6.40450091808946,0.0930768664391546,0.765205187910998
"SLC7A8",-0.421692232857285,4.88892724316317,11.5591672133009,0.0048395877920961
"HOMEZ",0.00368174845528006,5.64499561257242,0.00160460960722498,0.968665223179857
"PPP1R3E",-0.373757959312425,2.13721010968761,3.03833677326694,0.10527023446416
"BCL2L2",0.0176056767128011,6.71287353481143,0.0413551208814381,0.842050878639045
"PABPN1",0.0300656341159527,4.29575501688749,0.0480161406127445,0.830007097194197
"SLC22A17",-0.483916989646753,0.562409595924236,1.63213047930724,0.224092081565015
"EFS",-0.182054730893162,2.97792801248307,1.06666464778747,0.320818379253507
"NGDN",0.00923212505530898,4.89847455350857,0.00801432152760606,0.930051958690215
"THTPA",0.0773406225981491,3.01939768025563,0.209758986124784,0.654633703853917
"ZFHX2",0.334469377524129,2.90903382265988,3.91619302155165,0.0697463491626931
"AP1G2",0.0539281497536814,6.66196594877144,0.328801047458656,0.576301302358831
"DHRS2",0.457454132972341,0.628402491464552,1.12300182710086,0.308859294348775
"DHRS4-AS1",-0.298441732572978,4.48313014606914,4.95664908697015,0.0445974444720128
"DHRS4",0.0753501738876883,3.51734685393657,0.225539152939035,0.642851445647359
"DHRS4L2",0.114469380447706,3.31430928610896,0.607470376342735,0.449911579263746
"PCK2",0.238868738051433,3.67441102810455,2.01301052765386,0.17984196147995
"DCAF11",-0.0631068403823315,5.76469233004814,0.483992292595527,0.499055452467827
"PSME1",0.31705964207863,6.35171857706813,9.72223471824107,0.00829195589451815
"EMC9",0.301783957215379,2.11929841515323,1.67772553016338,0.218099201703339
"PSME2",0.398426887810021,6.25681564156186,15.0648004556224,0.00194416610386975
"RNF31",0.0887209514300319,4.89087539072781,0.54723829273941,0.472797330058853
"IRF9",1.25526788591978,5.67058629961599,188.893162566583,4.87252772495724e-09
"REC8",-0.00126705866764244,4.29550766675986,8.57628746256204e-05,0.992753803895007
"IPO4",0.25892332051489,4.95482433570693,4.88335556249293,0.0459679778225437
"TM9SF1",0.200681921015329,5.7928745630049,5.04198720485821,0.0430624028511833
"CHMP4A",-0.0480035767258663,6.89607568412718,0.270658057810137,0.611770267352563
"NEDD8",0.0526023962689747,5.67155083591952,0.253805393359882,0.622966201722495
"GMPR2",-0.00944501388737256,5.96493131262936,0.011107350979981,0.917698738153041
"TINF2",0.373862852225823,6.65126210542505,15.3538692187764,0.00181360153288893
"TGM1",0.799409254195838,5.95430104767737,60.029634181596,3.49039779898479e-06
"RABGGTA",0.295140709244158,5.42645104683758,8.07693481531877,0.0140476044922071
"DHRS1",0.279130634500512,5.43755408213733,7.76284600913303,0.0156219868236414
"NOP9",0.122015176187115,4.89563250150527,1.27482577231703,0.279578177502571
"CIDEB",-0.26607415579453,2.14748163881031,1.31788199583999,0.271973851621469
"LTB4R2",0.170219237434218,0.973067276064455,0.167582218076814,0.689036492736141
"LTB4R",0.125932809507596,4.9153596767667,0.905430737221803,0.358951076488483
"ADCY4",0.374851759817924,1.14414990393066,0.76206137679929,0.398763528280543
"RIPK3",0.398326951845015,3.97145303869402,10.3805107020676,0.00679891688958452
"NFATC4",0.149723817515363,5.11123773767235,1.72363877579674,0.212274642911465
"NYNRIN",-0.0863433872021124,7.03435911047752,0.897075457395746,0.361104257391321
"CBLN3",0.0144189712411334,3.65741551671089,0.00762115701974619,0.931784468504182
"KHNYN",0.108503279431882,7.34824704710241,1.9949889745266,0.181667612521032
"SDR39U1",0.0386367819299485,4.0357068006522,0.0760661646220678,0.787102936927446
"PRKD1",0.0604289727685079,0.361732380775677,0.0149262073572856,0.904659218259444
"G2E3",-0.106284885517132,4.05726740035174,0.554838227033751,0.469802614462736
"SCFD1",-0.0602596128695133,5.49069777104337,0.253369101575058,0.623262250646233
"STRN3",-0.0848150454855719,5.95155015552036,0.852927751548113,0.372806162878836
"AP4S1",-0.180699610498294,2.39321642820479,0.924368902998542,0.354140248206271
"HECTD1",-0.0829730610833017,7.37099655534561,0.771817912299391,0.395846232588675
"HEATR5A",-0.0444622124450016,4.75469262502413,0.174782169864781,0.682824159850878
"DTD2",-0.591619700269702,3.58058887042193,15.4932733714237,0.00175429199821714
"NUBPL",-0.215219564884582,3.97301442063184,1.99522492109603,0.181643557725372
"ARHGAP5-AS1",-0.37148454948047,2.3394053272275,3.41102583642063,0.0880002814251123
"ARHGAP5",-0.499498086671074,6.27353780669709,7.76840229583662,0.015592394039521
"AKAP6",-0.194587424804277,2.74910202637951,1.11829059452682,0.30983504226856
"EGLN3",-0.218968162262099,4.39301088664948,2.32497248568179,0.151631224538196
"SPTSSA",0.149721717378621,3.79600904348376,0.904020294902908,0.359313217971765
"EAPP",0.010964443236413,5.3491210413876,0.00792396439224351,0.930446262013544
"SNX6",-0.170292427963686,6.58540978695797,1.36254656856331,0.264380135174654
"CFL2",-0.24164474770334,4.13875483208609,1.22163494685894,0.289380878210448
"BAZ1A",0.0207428558693861,7.85428900388321,0.062305216964951,0.806849454094058
"SRP54",-0.130151855310284,6.94376863891846,1.92935046705537,0.188520812750588
"FAM177A1",0.118477139544597,6.03306354349255,1.46165926434925,0.248523315296065
