"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPSB1",800.608239198287,-0.104620778143587,0.10672986709951,-0.980238999511208,0.326968157776203,0.767020826767976
"SLC25A33",23.1191260183577,0.368526565108922,0.444382742387847,0.829299902891551,0.406934725828736,0.811286762867532
"TMEM201",76.9766158616453,0.126026345815849,0.260569882282163,0.483656609551596,0.628629592006297,0.903305419691211
"PIK3CD",402.78656579503,0.294969051121047,0.131784305291988,2.23827147297622,0.0252033572355591,0.266434949845687
"CLSTN1",9637.35196627621,-0.00776769333424181,0.0877206355218339,-0.0885503540647333,0.929439264728051,0.984850985598166
"CTNNBIP1",435.788311414361,-0.153305051272499,0.131357034145615,-1.16708672869817,0.24317534677414,0.693217959704895
"LZIC",410.716665971046,-0.0555416726603178,0.145552260891291,-0.381592648030389,0.702763538337221,0.921948546598951
"NMNAT1",503.03732501276,0.201492467671768,0.123314913427938,1.6339667447402,0.10226583354151,0.509606048837714
"RBP7",12.2622978224617,0.668284282527324,0.642095430513878,1.0407865416399,0.297974627583183,NA
"UBE4B",1161.5752194628,-0.129833950667263,0.100666855122604,-1.28973881730125,0.197141357183801,0.647731459552367
"KIF1B",1631.32604429938,0.0217048484095209,0.0951097969973664,0.228208334942844,0.819484282046688,0.957322972027495
"PGD",3596.93563632555,0.213644048024803,0.107727632210523,1.98318707689867,0.047346536868429,0.36980234557978
"CORT",0.197580980753264,-1.11841061265629,4.0804728567969,-0.274088482366288,0.784016624778764,NA
"DFFA",1026.30088416812,0.0559347457865171,0.114030050609012,0.490526361145862,0.623761480711008,0.902205902696802
"PEX14",471.190047954885,0.0408590454545115,0.157203883291776,0.259911171396928,0.794932293817465,0.952315938452719
"CASZ1",358.020142115858,-0.152252829759233,0.158588370542606,-0.960050407468743,0.33702984603899,0.774735976802024
"C1orf127",1.20730020147762,3.5731436854205,2.16114173434404,1.65335925387839,0.098257770280748,NA
"TARDBP",2659.05840443037,-0.0350535990489381,0.105009127602229,-0.333814782098942,0.738519328155988,0.935489006428824
"MASP2",0.561232540856348,-0.184676968194969,2.82514099365468,-0.065369115598038,0.947880113650796,NA
"SRM",445.856659057946,0.392267034777309,0.134457568819349,2.91740389344939,0.00352958401108848,0.0811195773582922
"EXOSC10",1285.64455335153,0.0969035991470347,0.106642224883034,0.908679458378882,0.363519350260593,0.789126371646107
"MTOR",1714.0112020855,0.166031777552734,0.0980518320331236,1.6933062249836,0.0903971938505947,0.482700624498164
"MTOR-AS1",0,NA,NA,NA,NA,NA
"ANGPTL7",0,NA,NA,NA,NA,NA
"UBIAD1",223.012046361535,0.12368868031314,0.162216516745381,0.762491285072311,0.445766842561532,0.826563340063478
"FBXO2",933.61441486952,0.0980760133602489,0.148560474210137,0.660175688598851,0.509141091655385,0.860547432599275
"FBXO44",504.681476358551,0.051222474026195,0.129873205758966,0.394403708808571,0.693283006020605,0.919697397056634
"FBXO6",125.499485064352,0.228133961520628,0.212346589304974,1.07434718997525,0.282667102136607,0.72799976204438
"MAD2L2",117.347610423774,0.073418990801375,0.222127704584721,0.33052604103858,0.741002519314257,0.936594191276237
"DRAXIN",0.275064266613335,-0.253375534842578,3.97059022800928,-0.0638130656382569,0.949119074589233,NA
"AGTRAP",768.288842164063,-0.0291111482967689,0.146953412780556,-0.1980978035552,0.842968543290729,0.962807860091058
"MTHFR",303.584170238803,0.00468461780601352,0.140337647687365,0.033381048373061,0.973370722447306,0.99405257554809
"CLCN6",256.097093347273,0.195751438459227,0.151544602625808,1.29170841499762,0.196458142172556,0.646614082755597
"NPPA-AS1",6.52153722424794,0.552241459288306,0.847656153605518,0.6514923025561,0.514728744374053,NA
"NPPA",0.67543719215802,1.452838958097,2.82750899060035,0.513822931395359,0.60737579389098,NA
"NPPB",0,NA,NA,NA,NA,NA
"KIAA2013",602.927952761593,0.00685734987928752,0.136924874826016,0.0500811111786724,0.96005775194338,0.991813651750918
"PLOD1",2944.21055436734,0.108712414688408,0.104425755112573,1.04104983077416,0.297852421831855,0.741533361601757
"MFN2",3414.01096903321,0.0873487623631427,0.0951339487436648,0.918166054459707,0.35853193733457,0.786632708888595
"MIIP",148.041814811077,0.117324297060559,0.194833530046317,0.602177135694602,0.547056233552939,0.87614117595875
"TNFRSF8",0,NA,NA,NA,NA,NA
"TNFRSF1B",0.455404322490374,2.16670820236082,3.55321056795444,0.60978885459304,0.542001685489706,NA
"MIR4632",0,NA,NA,NA,NA,NA
"VPS13D",2130.88259374193,-0.0012342637178239,0.0872419694369766,-0.0141475911856337,0.988712231970975,0.996884404882534
"SNORA59B",0,NA,NA,NA,NA,NA
"SNORA59A",0,NA,NA,NA,NA,NA
"DHRS3",2437.15281417658,-0.0664829696391292,0.100338273992298,-0.662588332386826,0.507594244783624,0.859749845357777
"AADACL4",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"C1orf158",0,NA,NA,NA,NA,NA
"PRAMEF12",0,NA,NA,NA,NA,NA
"PRAMEF1",0,NA,NA,NA,NA,NA
"PRAMEF11",0,NA,NA,NA,NA,NA
"HNRNPCL1",0,NA,NA,NA,NA,NA
"PRAMEF2",0,NA,NA,NA,NA,NA
"PRAMEF4",0,NA,NA,NA,NA,NA
"PRAMEF10",0,NA,NA,NA,NA,NA
"PRAMEF8",0,NA,NA,NA,NA,NA
"PRAMEF7",0,NA,NA,NA,NA,NA
"PRAMEF6",0,NA,NA,NA,NA,NA
"PRAMEF22",0,NA,NA,NA,NA,NA
"PRAMEF5",0,NA,NA,NA,NA,NA
"PRAMEF9",0,NA,NA,NA,NA,NA
"PRAMEF15",0,NA,NA,NA,NA,NA
"PRAMEF14",0,NA,NA,NA,NA,NA
"PRAMEF13",0,NA,NA,NA,NA,NA
"PRAMEF19",0,NA,NA,NA,NA,NA
